text,BIO_anno,class
当然是拿来买基金啊，白嫖多香。,O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
都是褥羊毛而已，生不了钱，日常薅羊毛还是很开心的哦,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
讨厌一天到晚做广告的ID,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,0
招行15.0W,B-BANK I-BANK O O O O O,2
还是我主动去手银申请的,O O O O O O B-PRODUCT I-PRODUCT O O O,2
江西银行100K兴业115K,B-BANK I-BANK I-BANK I-BANK O O O O B-BANK I-BANK O O O O,2
已经成功拿下农行信用卡首卡，开心一下,O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
我4星加常年10几个小砖，他拒我76次，最近一年流水大概700多万吧，没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么，估计没人...,O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ O O O O O O O O O O,0
申请普卡呢？或者把你单位类型包装一哈。,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,2
版主辛苦！为什么有的人可以全额现金分期，我只能分一半，是卡种不同，还是怎么着，望指教，感谢！,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O,2
建行居然永远不算新户？怪不得多少年了积分还在,B-BANK I-BANK O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O O,2
兴业pass金67k,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
班主大人，没有临时额度是不是点固定肯定是凉凉？代码r52,O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
发过授信的帖子，销卡，搬砖。,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
已经7行9张卡，怕消了不给下,O O O O O O B-PRODUCT O B-COMMENTS_ADJ O O O O O,2
唯一一张万年不提万元以下的卡是建行的,O O O O O O O O O O O O O B-PRODUCT O B-BANK I-BANK O,2
建行的提额，所有人都很迷糊。,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
七八年了农行还是6千，别的行7万多的都有了,O O O O B-BANK I-BANK O O O O O O O O O O O O O O O,0
3天前申请，无征信获批，浦发,O O O O O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK,2
是不是呀，买银行的理财还是要用心选的,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2
下了，50k额度,O O O O O O B-COMMENTS_N I-COMMENTS_N,2
恭喜下卡坐等额度,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N,1
预审额度多少下了5万,O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
是那个信用卡预审批额度吗，我看了下6000,O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2
6000下了5万？真牛??是在网上申的,O O O O O O O O O O O O O O O O O O O,2
说下你的社保和公积金，看到你的情况，让我有试一试的冲动了,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2
半步封神的额度，离80K的大山也不远了，弄的可以,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2
我建行卡上学时候办的，到现在十年了，5千额度没提过,O B-BANK I-BANK B-PRODUCT O O O O O O O O O O O O O O O O O O O O O,2
快E贷不是快贷吧？,O O O O O B-PRODUCT I-PRODUCT O O,2
看到额度没啥惊喜可言,O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
首卡，额度可以了,B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O,2
还可以养，我交通就是被我养起来的,O O O O O O B-BANK I-BANK O O O O O O O O,2
额度太低了，小贱提额太难了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
消了，别犹豫。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
能下就好，我被贱贱拒了四年还在拒,O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ,0
我是经历过了，下卡1年连临时额度都没有，一个贷后也没有，直接注销了,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
嗯，是，我的建行卡，2次提额，还是赶上活动放水普提。现在到30k，躺着不动了,O O O O O O B-BANK I-BANK B-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,2
我下卡5千，五年多了，都没有动静。这个额度也是没谁了,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
我第一张是ETC，后面下了支付白，汽车卡，额度也一点没给我提,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
牛车，我的车贷还完了,O O O O O B-PRODUCT I-PRODUCT O O O,2
能下卡的都是优质客户！,O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
没什么用提额照样拒绝,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
我不相信钛金大佬都二卡了还不知道怎么查额度。“卡服务”里面“额度调整”自己所有建行信用卡都会显示呀,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2
全球支付,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2
全球支付v主吗还是全球支付银联,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N,2
v，多交流交流经验，基金是咋赚钱的啊,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O,2
有房贷征信上能查到吧，或许房产证还能有些用，发票不一定能行，我昨天工行首卡也拒了，也想着重新去线下提供购房发票试试，感觉有点靠不住...,O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
"看自己需求啊,带娃吃饭啥的，就办招行的，每周三都有活动",O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O,2
今天用了，秒批，平安的哦,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O,1
我的利率1.8，有4W4的额度，卡发工资就是借不出来说多头授信哈哈,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
1.8是什么神仙信用卡啊,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
一直没有额度，是不是要在京东买点理财或者建行买点理财才能出额度？,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O,2
批了不代表有水啊！,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
我也是4号申请的，还在审批,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
目前有4万多快贷，7行信用卡。,O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
建行app我刚看完10k没啥惊喜,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
如果你是六七行以上并且征信带点小花下卡的有可能是放水！,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
建行的预审批，可信度有多高？目前有4万多快贷，7行信用卡。微信查有3万预审批额度，不知推倒小贱的概率有没有30%,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2
看了建行是你的真爱了！不过建行确实好用！,O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
Giao就完了，提额肯定是有希望的,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
要不隔半年再试试。到时候额度会高些,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O,2
又拒了,O B-COMMENTS_ADJ O,2
我也是，收了一笔款就变成这样了，额度瞬间就爆了,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,2
你收的什么款？工商银行？,O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2
流水是不是很多,B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
流水一个月有多少,B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
你怎么也知道今天一大堆这样的,O O O O O O O O O O O O O O,2
收款还是用信用社这种小地方的卡,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-PRODUCT,2
信用社的卡不容易风控？,O O O O B-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2
我打客服电话问了，客服说很多人打电话说储蓄卡被封了，我的也是和你的一样，只能去柜台了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
你好请问你的钱取出来了吗，哈焦虑,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
早就解封了，平安的还是靠谱的,O O O O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
请问是去柜台取的吗麻烦你了,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
你好请问你的取出来了吗，我的没有，心烦,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
请问招商银行申请办理信用卡需要什么条件,O O B-BANK I-BANK I-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N,2
我下卡从来没提过额度，成功不成功点了才知道,O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2
这次坑定了,O O B-COMMENTS_ADJ O O,0
"本来按理来说是妥妥的建行幼稚客户啊，唯一的可能就是卡多了，小贱应该在行数少的时候申请，你这个预审批很高了。我代发工资每月才4k,秒批。第二行，卡还没到不知道怎么查...",O O O O O O O O O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O,2
这资质八成能过，额度还不会低的,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
这个走线下完全没有问题！没必要走线上，额度还是有的,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
金卡都被拒了……不知道为啥,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O,0
这不科学，一般人浦发信用卡都是3万额度起呀,O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O,0
基本能过，兴业的卡是非常好批的,O O O O O B-BANK I-BANK O B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
炫富！建行看不下去，拒绝了,O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
提前恭祝楼主下卡，下来了，通知一下，我好看看有没有水，好嘛,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,1
这都要拒，贱行真是个奇葩行,O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
线下申请给的资料也是一样的啊……难道线下有加成？标准都是一样的吧,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
签约分行是工作地的吗，是的工作地的，工商银行哦,O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2
主要是你太优秀了，人工审批的那个哥们还是妹子看你不顺眼！你这么好的资质申请个毛的信用卡！所以拒绝你了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
这有啥炫富的……都不算幼稚客户，建行有房贷基本都是5星……,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O O O O O,2
我有建行房贷三星,O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O,2
房贷还了多久？估计和我一样满两年才能下卡,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
可以线下试试大山白,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
可以线下去申请中信银行的信用卡，比较好申请,O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
去网点申请，直接就给你批了。别网申啊，兴业就是,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O,2
以前工资代发，JOY白下卡1.8，几年没升过,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ O,2
年费积分免啊，你可以下来了在申请别的卡销大山,B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2
哈哈，我没有预审批，代发社保公积金，6行批的，老哥命苦,O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2
农行刷免精粹白100K,B-BANK I-BANK O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
不低了，有这实力当时如果直接申请大山白，估计可以下8万,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2
低了，不符合你的身份。注销申请大山,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
后悔了，当时不懂，乱申请的，当时都不知道大山白,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
大山白还要操心年费，像我交过一次1800后就消了。,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2
为啥呢，我提额还是比较顺利的啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,1
五万是个槛，大部分人五万就不容易再往上提了，只能靠大山白了。。。,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
卡多的，就用冷冻大法,B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
用一段时间在申大山白,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
5万元是门槛，大部分人都不能轻易再提起来，只能靠,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
也是最近。额度还很高呢,O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
是的，我不能上去，但我怕以后不会怀恨在心。卡,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT,0
确实是建行额度调整的短信内容。以前收到过，只要能指定文字。,O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,2
如果发送号码正确！那一定就是对了，太开心了吧,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
广东的吗，是的就是广东的农商行,O O O O O O O O O O O O B-BANK I-BANK I-BANK,2
有点高了比取现分期还多点,O O B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
0.5高了，相当于每天万三的费率！,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,0
不是推广短信。我已经接过好几次的电话了，银行是有这种分期业务，会给你打电话的,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O,2
那就是建行的人，他们能查到谁有额度，然后挨个短信，电话也打。我全接过，而且不止一个人,O O O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2
确实都是本地网点打来让办理的，本地网点还是靠谱,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
费率从0.4变成0.25也没推下来！无缘分期通,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,0
现在有没有必要去进件申请,O O O O O O O O O O O O,2
那就曲线看看吧，反正1800年费随便撸一下就回来了,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
实测不会提额,O O O O B-COMMENTS_N I-COMMENTS_N,2
兄弟已经试过了吗？提额提了多少呀,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
大山8万起步，我大山批了，额度还是8.7w没变,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
并没有，招行的朝朝盈稳健还是可以的,O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,1
用了多久了？大山白也那么难提额？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2
我浦发销卡两次，间隔一年半，现在怎么都不批卡了怎么破？,O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O,0
中行20万是什么条件申请的？公司高管？还是有大额存款？,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
配额不太可能超过9万，配额分成的概率还是很大的。毕竟,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
用了多久？大山白这么难求？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
一起办，各种基金呀都可以整起来,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2
看你自己的需求了，也可两个都申请。额度不会低的,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,2
能分60期我还想在养养，看看能不能额度再高点，毕竟预审批不一定给九万呢，理想是15万分个60期，差不多就压力不大了...,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
卡多不好批??。我15.8额度，申了两次没有批，就因为多头授信。,B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
我就一张信用卡一个农商消费贷加一个房贷，准备养养征信在搞工商，现在看到建设分期通还可以啊，毕竟我公积金是建行的，我不玩卡就想备着点银行贷款...,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2
